init_id,id,description,has_stock,cost,weight,cr_number,mfg
513123,513123,"Housing, Jet Pump
Yamaha
Has Threads for Bolts
Mfg Part #: 6R7-51312-03-94",True,113.99,2.0,,6R7-51312-03-94
560,560,"Oil Filter Kit with O Rings
Seadoo 02 & Later All 4 Str.
1503 cc
Cross Ref #: 420230920, 420850500, 420950860, 420956740
Mfg Part #: 420956741",True,6.62,0.3,"420230920, 420850500, 420950860, 420956740",420956741
580,580,"Crankshaft, Used
Seadoo 580cc",True,261.25,18.4,,
580100,580100,"Piston Ring Set Std
Seadoo 580cc
Fits Oem Pistons
Cross Ref #: 290215200, 290915820, 420815015
Mfg Part #: 420215200",False,18.34,0.03,"290215200, 290915820, 420815015",420215200
580150,580150,"Piston Ring Set .020/.50mm
Seadoo 580cc
Fits Oem Pistons
Cross Ref #: 290915822
Mfg Part #: 290215201",False,18.16,0.03,290915822,290215201
580200,580200,"Piston Ring Set .040/1.00mm
Seadoo 580cc
Fits Oem Pistons",False,18.16,1.0,,
586,586,"Piston Kit Wiseco .060/1.50mm
Yamaha 500cc",False,78.39,1.0,,
6B611603,6B611603,"Piston Ring Set, Std OEM
WaveRunner FX 140 HO 2004-2007
Mfg Part #: 6B6-11603-00-00",True,46.73,0.2,,6B6-11603-00-00
6D3-11603,6D3-11603,"Piston Ring Set, Std
WaveRunner VX110 2005- & Up
2005 & Up
Cross Ref #: 6D6-11603-00-00
Mfg Part #: 6D3-11603-00-00",True,54.11,0.1,6D6-11603-00-00,6D3-11603-00-00
6D3814,6D3814,"Stator Assembly OEM
Yamaha 05-12 VX110/AR210/
SR210/SX210 PWC/Jetboat Model
Mfg Part #: 6D3-81410-01-00",False,463.29,2.7,,6D3-81410-01-00
6R74533,6R74533,"Housing, Bearing
Yamaha 90-96 650cc
SuperJet/VXR/WveRunner III
Cross Ref #: 6R7-45331-00-9M",False,41.99,1.0,6R7-45331-00-9M,
6S5-11603-00-00,6S5-11603-00-00,"Ring Set, Piston Std
WaveRunner FZR FZS FXHO
SHO 2008 & Up
Mfg Part #: 6S5-11603-00-00",True,47.55,0.2,,6S5-11603-00-00
6S5-11633-00-00,6S5-11633-00-00,"Wrist Pin, Piston
WaveRunner FZR FZS FXHO SHO
2008 & Up
Mfg Part #: 6S5-11633-00-00",False,16.68,0.25,,6S5-11633-00-00
60E814,60E814,"Stator Assembly OEM
Yamaha 02-08 All 998cc FX140
PWC/Jetboat Model
Cross Ref #:  60E-81410-00-00, 60E-81410-00-00, 60E-81410-01-00
Mfg Part #: 60E-81410-00-00",False,333.69,2.7,"60E-81410-00-00, 60E-81410-00-00, 60E-81410-01-00",60E-81410-00-00
60T814,60T814,"Stator Assembly OEM
Yamaha 03-08 All 1300cc
PWC Model
Cross Ref #: 60T-81410-01-00",False,478.05,3.1,60T-81410-01-00,
608,608,"Piston Kit Wiseco .080/2.00mm
Kawasaki JS550 1991 & Up",False,84.53,1.2,,
6120,6120,"Carburetor, Mikuni PTO Side
Seadoo 95-99 720/800 Dual Carb
XP/HX/GSX/SPX/GTX/GTI
Mfg Part #: 270500216",True,124.48,2.8,,270500216
6202,6202,"Bearing, Jet Pump 62022RD
Kawasaki 95-04 750/900/1100/
1200/12F/15F
Cross Ref #: 92045-0112, 92045-3721",False,5.0,1.0,"92045-0112, 92045-3721",
6206,6206,"Bearing C4 Fit 6206
Yamaha",False,5.76,0.5,,
6206,6206,"Bearing, Crank w/ Notch
Kawasaki 440cc/550cc/
""Outer Bearings""",True,7.62,0.5,,
623,623,"Piston Kit Wiseco .060/1.50mm
Kawasaki 750cc Up to 95
20mm Wrist Pin",True,97.18,1.1,,
63M855,63M855,"Stator Assembly OEM
Yamaha 95-98 All 1100cc
PWC/Jetboat Model
Cross Ref #:  63M-85510-00-00
Mfg Part #: 63M-85510-00-00",False,271.7,1.3,63M-85510-00-00,63M-85510-00-00
6306,6306,"Bearing, Crankshaft PTO End
Seadoo 800",False,10.15,0.5,,
6308,6308,"Bearing, PTO
Yamaha 98-08 800R/1200R/1300R",True,36.2,1.5,,
640405,640405,"Web, Crankshaft
Tigershark 640, 770",False,36.46,4.0,,
650,650,"Crankshaft
Polaris 650,750
$200 Core charge
Cross Ref #: 3240081, 3240081, 3240166
Mfg Part #: 3240184",False,402.94,33.3,"3240081, 3240081, 3240166",3240184
650150,650150,"Piston Ring Set .020/.50mm
Seadoo 650 / 657cc",False,18.16,0.03,,
66E-45813-10-94,66E-45813-10-94,"Coupling, Flange
Waverunner
Mfg Part #: 66E-45813-10-94",False,53.05,1.0,,66E-45813-10-94
6.5999999999999996e+46,6.5999999999999996e+46,"Coupler 27mm 5 Finger
WaveRunner FX1100 SRT1100
2004-2006
Mfg Part #: 66E-45813-10-94",True,27.03,1.0,,66E-45813-10-94
66E855,66E855,"Stator Assembly OEM
Yamaha 98-05 All 800
PWC Model
Cross Ref #: 66V44517
Mfg Part #: 66E-85510-00-00",False,337.01,2.3,66V44517,66E-85510-00-00
66V455-1,66V455-1,"Driveshaft Length 30""
Yamaha 99-01 800/1200/03-08
1300 GPR/XL Ltd/XLT/SUV/FX
Mfg Part #: 66V-45511-01-00",True,159.74,1.0,,66V-45511-01-00
66V855,66V855,"Stator Assembly OEM
Yamaha 99-08 1200cc Power Valv
PWC/Jetboat Model
Mfg Part #: 66V-85510-00-00",False,271.7,2.0,,66V-85510-00-00
661,661,"Piston Kit Wiseco Std
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj
Mfg Part #: 290887300",False,105.83,1.2,,290887300
66116,66116,"Piston Ring Set OE
Yamaha 1200R Power Valve
Mfg Part #: 66V-11603-00-00",True,42.63,0.03,,66V-11603-00-00
6734,6734,"Gasket, Base
Seadoo 00-07 All 951 DI Model
PWC/Jetboat Model
Cross Ref #: 293290905, 420931906",True,8.14,0.05,"293290905, 420931906",
68Y455-1,68Y455-1,"Driveshaft Length 28 1/8""
Yamaha 01-05 800/1200cc/FX
GPR/XLT/SUV/FX
Mfg Part #: 68Y-45511-01-00",True,217.27,3.0,,68Y-45511-01-00
701,701,"Crankshaft, USED
Yamaha 650cc,701cc,760cc",False,262.73,21.5,,
7094,7094,"Piston Kit .040/1.00mm
Yamaha 701cc / 1100cc",True,46.84,1.1,,
7096,7096,"Piston Kit .060/1.50mm
Yamaha 701cc / 1100cc",True,46.84,1.1,,
7102,7102,"Piston Ring Set .020/.50mm
Yamaha 650
Mfg Part #: 6M6-11601-20-00",True,17.95,0.03,,6M6-11601-20-00
7102,7102,"Piston Kit ProX .020/.50mm
Super Jet 650cc
Take Out Sub 602P2
Mfg Part #: 6M6-11636-01-00",False,56.05,1.0,,6M6-11636-01-00
7110,7110,"Circlip, Piston Pin pair Pro-X
WaveRunner 760/1200
Mfg Part #: 93450-21053-00",False,1.62,0.02,,93450-21053-00
7110,7110,"Piston Kit ProX Std
Yamaha 760cc , 1200cc 135hp
1200 is mono block/Steel Liner
Mfg Part #: 64X-11631-00-00",True,49.66,1.2,,64X-11631-00-00
7110,7110,"Piston Ring Set, STD
Yamaha 760cc , 1200cc 135hp
OEM Replacement
Mfg Part #: 64X-11603-00-00",True,69.69,0.05,,64X-11603-00-00
7120,7120,"Piston Kit ProX .020/.50mm
Yamaha 701cc / 1100cc
Take Out Sub 7090X or 709PS
Mfg Part #: 61X-11631-00-93",False,56.05,1.2,,61X-11631-00-93
7122,7122,"Piston Kit ProX .020/.50mm
Yamaha 701cc / 1100cc
Take Out Sub 7092X or 709P2
Mfg Part #: 63M-11636-00-00",False,70.23,1.2,,63M-11636-00-00
7126,7126,"Piston Kit ProX .060/1.50mm
Yamaha
Take Out Sub 7096X or 709P6",False,70.23,1.2,,
7170,7170,"Piston Ring Set, STD.
Yamaha 800CC
1200R (Our Piston Only not OE)
Mfg Part #: 66E-11603-01-00",True,18.71,0.03,,66E-11603-01-00
7174,7174,"Piston Kit .040/1.00mm
Yamaha 800 / 1200R All 155hp
with Exh Valves, Nikasil Cyl",False,49.66,1.3,,
7194,7194,"Piston Kit ProX .040/1.00mm
Yamaha 1300GPR",False,91.76,1.3,,
720,720,"Crankshaft Hot Rods, Used
Seadoo 720
Comes with all Bearing",False,350.0,21.1,,
7201,7201,"Piston Kit ProV Std
Yamaha FX 140
Take out",False,69.14,2.0,,
72531,72531,"Crank Web
Yamaha 650-701",False,85.84,3.3,,
750,750,"Crankshaft Reman
Kawasaki 750 20mm W/p
1993-1995 $200 Core charge
Cross Ref #: 13031-3718
Mfg Part #: 13031-3726",False,305.98,21.0,13031-3718,13031-3726
770214,770214,"Block Off, Oil Pump
Tigershark 93-99 639/640/
644/770",False,6.01,0.02,,
7920,7920,"Carburetor Mikuni 40mm
Seadoo 97-05 720 Single Carb
PWC/Jetboat Model
Mfg Part #: 270500297",True,166.21,3.1,,270500297
800,800,"Circlip, Piston
Seadoo 800cc
Mfg Part #: 420845100",False,1.42,0.02,,420845100
800,800,"Crankshaft, Reman
Polaris Octane/Virage I 02-04
$200 Core Charge
Mfg Part #: 2201844",False,305.98,27.3,,2201844
800,800,"Crankshaft Reman
Yamaha 800
$200 Core charge
Mfg Part #: 66E-11400-00-00",False,402.94,25.0,,66E-11400-00-00
8022,8022,"Piston Ring Set .020/.50mm
Seadoo 580cc
Fits 8022X Pro-X Piston
Cross Ref #: 290915822
Mfg Part #: 290215201",False,17.17,0.05,290915822,290215201
8034,8034,"Piston Kit ProX .040
Seadoo 650",False,68.8,1.8,,
8040,8040,"Piston Kit , Std.
Seadoo 717 / 720cc
1995-2005
Mfg Part #: 290-887-670",True,46.84,1.2,,290-887-670
8040,8040,"Piston Ring Set, STD
Seadoo 717,720/ 787, 800",True,18.71,0.04,,
8050,8050,"Piston Kit, Std
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj
Mfg Part #: 290-887-300",True,46.84,1.2,,290-887-300
8052,8052,"Piston Kit .020/.50mm
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj",True,46.84,1.2,,
8053,8053,"Piston Kit .030 or.75mm
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj
Mfg Part #: 290-887-303",True,46.84,1.2,,290-887-303
8054,8054,"Piston Kit .040/1.00mm
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj",True,46.84,1.2,,
8056,8056,"Piston Kit .060/1.50mm
Seadoo 787cc, 800cc
1995-2005 Carb/Rotax Fuel Inj",True,46.84,1.5,,
8056,8056,"Piston Ring Set .060/1.50mm
Seadoo 800cc
Fits 8056X Piston",False,17.17,0.05,,
8060,8060,"Circlip, Piston Pin pair Pro-X
Seadoo 951
Mfg Part #: 290845465",False,1.62,0.02,,290845465
8060,8060,"Piston Kit, Std
Seadoo 951cc
1997-2007 Carb/Direct Fuel Inj
Mfg Part #: 290-887-570",True,49.66,1.5,,290-887-570
8063,8063,"Piston Kit .030 or.75mm
Seadoo 951cc
1997-2007 Carb/Direct Fuel Inj",True,49.66,1.6,,
8064,8064,"Piston Kit .040/1.00mm
Seadoo 951cc
1997-2007 Carb/Direct Fuel Inj",True,49.66,1.6,,
8066,8066,"Piston Kit, .060/1.50mm
Sea Doo 951cc 89.50mm
1997-2007 Carb/Direct Fuel Inj",True,49.66,2.0,,
81941,81941,"Solenoid Starter, w/Fuses
Yamaha Waverunner 2016-2017
Mfg Part #: 6EY-81940-09-00",False,62.31,0.5,,6EY-81940-09-00
85540,85540,"CDI Box, No Rev Limiter
Yamaha 90-11 All 650cc/700cc
PWC Model
Cross Ref #: 6M6-85540-01-00, 61X-85540-00-00, 62T-85540-00-00, 62T-85540-01-00",False,135.75,0.6,"6M6-85540-01-00, 61X-85540-00-00, 62T-85540-00-00, 62T-85540-01-00",
85681,85681,"Wear Ring Kit
Mercury 99-06 SportJet
Mfg Part #: 856814A2",True,733.14,9.0,,856814
900,900,"Crankshaft Reman
Kawasaki 900cc
$200 Core charge
Mfg Part #: 13031-3732",False,560.03,32.0,,13031-3732
90468,90468,"Circlip, Piston Pin
WaveRunner VX110 FX140 FXHO
VX 2005 & Up, FX 2002-2007
Mfg Part #: 90468-12069-00",False,1.75,0.02,,90468-12069-00
91112,91112,"Valve Stem Seal, Intake OEM
Yamaha 4 Str.
FX140, FX140 HO, VX110
Mfg Part #: 4TV-12119-00-00",True,9.01,0.01,,4TV-12119-00-00
92139718,92139718,"Bushing, Pump OEM
Kawasaki 05-10 All STX
Cross Ref #: 92139-3715
Mfg Part #: 92139-0718",False,22.39,0.2,92139-3715,92139-0718
9216038,9216038,"Motor Mount
Kawasaki 95-10 900/1100/4str
Ultra 150/STX-R (Rear)
Cross Ref #: 92161-3789",False,33.61,0.7,92161-3789,
92161,92161,"Motor Mount OEM
Kawasaki 01-04 Ultra 130
Mfg Part #: 92161-3731",True,61.16,0.6,,92161-3731
95110,95110,"Jet Kit
Seadoo All 951
Used to Remove Accel Pump",False,78.03,1.0,,
9810,9810,"Trim Box Replacement
Seadoo",False,51.01,,,
CR-1-98125,CR-1-98125,"Exhaust Manifold, BARR
Crusader 7.4L, 8.2L & 8.1L
w/Center Rise Manifold
Mfg Part #: 98125",True,353.7,64.0,,98125
MC-20-865996A3,MC-20-865996A3,"Spacer Kit, 1.7"" Dry Joint
Mercruiser 4.3L 5.0L 5.7L V8
Mfg Part #: 865996A3, 865995A01",False,326.59,23.0,,"865996A3, 865995A01"
PT407NM,PT407NM,"Trim Motor API
Volvo SX -M w/2.3"" Bolt Spread
w/Coarse Bolts 2001-up
Mfg Part #: 3861575",False,146.89,4.1,,3861575
S1663M,S1663M,"Starter, Assembly PMGR
Volvo Early Aq Series 4 & 6cyl
w/Threaded Mount Hole1979-1993
Cross Ref #: 10113, 872241
Mfg Part #: 859553",True,138.73,8.61,"10113, 872241",859553
TPOINTBB,TPOINTBB,"Timing, Pointer 8"" Balancer
Mercruiser Big Block",False,6.37,0.07,,
535,535,"Gear Housing Seal Grommet
Bravo I II III
Cross Ref #: 18-0535, 85250
Mfg Part #: 805344",False,1.23,0.01,"18-0535, 85250",805344
1-54870,1-54870,"Exhaust Manifold,End Cap
Mercruiser IL6 & V8 w/Log
No Water Fitting
Cross Ref #: 1-73813, 48045, 509484, 54870, 73813, 73813F1
Mfg Part #: 73813A1",True,22.6,0.94,"1-73813, 48045, 509484, 54870, 73813, 73813F1",73813
1-65603,1-65603,"Exhaust Manifold, Starboard
Mercruiser 302/351 Ford
Log Style,
Mfg Part #: 65603A12",True,365.81,51.0,,65603
1142,1142,"Bearing, Driven Gear
MC I R/MR/Alpha I Gen II
w/ V-8 & 3.0""Dia Cup 1983-Up
Cross Ref #: 18-1142, 21560, 32573A1
Mfg Part #: 32573A1",True,34.06,1.0,"18-1142, 21560, 32573A1",32573
1161,1161,"Bearing
MC I R/MR/Alpha I Gen II
OMC/Cobra w/3"" Dia.Cup
Cross Ref #: 18-1161, 18-1161, 21540, 21540, 35990A1, 509432, 509432, 9-75122, 9-75122
Mfg Part #: 35990A1",True,21.73,1.5,"18-1161, 18-1161, 21540, 21540, 35990A1, 509432, 509432, 9-75122, 9-75122",35990
123-7878,123-7878,"Module, Shift Assist
OMC Cobra 4cyl w/2 Plugs
w/Delco EST Dist. 1990
Cross Ref #: 987396, 987878
Mfg Part #: 986610",True,84.97,0.6,"987396, 987878",986610
12708,12708,"Sterndrive Rear Cover Seal
Bravo I II III
1988-Up
Cross Ref #: 18-1240, 86720
Mfg Part #: 12708",True,4.5,0.02,"18-1240, 86720",12708
13992,13992,"Drain Plug & O Ring
Mercruiser V6 V8
Cross Ref #: 13992, 18-4226, 18-4226, 8M0119211, 806608A02, 806608Q01, 9-41203
Mfg Part #: 806608A1",True,2.08,,"13992, 18-4226, 18-4226, 8M0119211, 806608A02, 806608Q01, 9-41203",806608
15101,15101,"Belt Serpentine
Mercruiser 4.3L 5.0L 350Mag
76.5""Long 1998 & Up
Cross Ref #: 18-15101, 862086, 862086A1, 8620861, 8638764, 865615Q04, 865615004
Mfg Part #: 865615Q04",True,49.49,0.5,"18-15101, 862086, 862086A1, 8620861, 8638764, 865615Q04, 865615004",865615
16005,16005,"Plug Kit, Gimbal Housing
Alpha I, Gen II, Bravo
Mfg Part #: 22-88847A 1",True,17.6,0.1,,22-88847A 1
17650,17650,"Gasket, Thermostat
Chrysler 318 5.2L
Mfg Part #: 17650",False,6.86,0.1,,17650
17760,17760,"Timing Cover Seal 1Pc
GM 5.0L & 5.7L
Counter Rotation",False,12.23,0.2,,
17780,17780,"Timing Cover Seal
Chrysler LM318 M340 M360
w/Rev Rotation",True,30.91,0.21,,
18-1601,18-1601,"Gear Kit, Upper 21:18
Cobra 1986-1994
Mfg Part #: 983826",False,629.25,7.1,,983826
18-1992-1,18-1992-1,"Exhaust Elbow Osco
80 Degree X 3"" I.D.
w/Hose Kit Cast Iron
Cross Ref #: 9-40120
Mfg Part #: OSC803030",False,35.0,7.0,9-40120,OSC803030
18-2412,18-2412,"Engine Coupler
Mercruiser V8
w/Bravo
Cross Ref #: 9-72503
Mfg Part #: 861523A 9",False,421.14,13.0,9-72503,861523
18-3081,18-3081,"Impeller Kit
Volvo 3.0L - 8.2L Splined
Crank Mount Early 1994-2000
Cross Ref #: 21951346, 3850107, 3850108, 3856039, 3862281, 765623, 825940, 875811, 877400
Mfg Part #: 21951346",False,13.83,0.3,"21951346, 3850107, 3850108, 3856039, 3862281, 765623, 825940, 875811, 877400",21951346
18-5294,18-5294,"Ignition, Conversion Kit
Delco 6cyl Distributors
Electronic
Cross Ref #: 9-26901",True,142.91,0.6,9-26901,
18-7715,18-7715,"Fuel Filter, Cartridge
Mercruiser 5.0L 5.7L 6.2L 8.1L
8.2L w/Fuel Module 1994-Up
Mfg Part #: 892665",True,25.23,0.1,,892665
18-8114,18-8114,"Fuel Line 31"" Pump to Carb
Universal Marine Applications
3/8"" x 31"" PTFE Composite",False,55.34,0.4,,
18-8504,18-8504,"Exhaust Elbow Mounting Kit
Pleasurecraft
w/Bolts Fits #18-1996 Manifold
Cross Ref #: 9-40871
Mfg Part #: OSC29001-MK",True,10.12,0.2,9-40871,OSC29001-MK
2-GMOPS34,2-GMOPS34,"Oil Pump Screen
GM 305/5.0L & 350/5.7L
w/3/4"" Tube&Std 4qt Pan1996&Up
Mfg Part #: N/A",False,12.53,0.55,,
2-GMOPS58,2-GMOPS58,"Oil Pump Screen
GM 4.3L Exc. Ser# 0F601127&Up
GM 5.0L 5.7L w/5/8""Tube 95&Bel
Mfg Part #: N/A",False,8.96,0.5,,
2-GMOPS58SP,2-GMOPS58SP,"Oil Pump Screen
GM 305/5.0L & 350/5.7L
w/5/8"" Tube & Std 4Qt Oil Pan
Mfg Part #: N/A",False,7.7,0.55,,
2-GMOP34,2-GMOP34,"Oil Pump
GM 4.3L 5.0L 5.7L
w/3/4"" Tube 1996-Up
Mfg Part #: 809907002",False,45.81,3.3,,809907002
2-GM68RLFT,2-GM68RLFT,"Roller Lifter
GM 4.3L 1987-1991 &
5.7L 1992-1995
Mfg Part #: 17340T",True,8.98,0.297,,17340
2-30FPK,2-30FPK,"Freeze Plug Kit
GM 120/2.5L 140/3.0L
Brass
Mfg Part #: N/A",False,9.47,0.4,,
2-30RBN-S,2-30RBN-S,"Rod Bearing Std
GM 140/3.0L
w/Narrow .713 Brg
Mfg Part #: 804982",False,9.76,0.15,,804982
2-30RBN-1,2-30RBN-1,"Rod Bearing .010
GM 140/3.0L
w/Narrow .713 Brg
Mfg Part #: N/A",False,9.76,0.15,,
2-30557RBW-S,2-30557RBW-S,"Rod Bearing Std
GM 2.5L 3.0L w/Wide .842 Brg
GM 305/5.0L & 350/ 5.7L
Mfg Part #: 85701",False,3.36,0.1,,85701
2-30557RBW-1,2-30557RBW-1,"Rod Bearing .010
GM 2.5L 3.0L w/Wide .842 Brg
GM 305/5.0L & 350/5.7L
Mfg Part #: 85704",False,3.36,0.125,,85704
2-32-1155,2-32-1155,"Fuel Pump, Elec Boost Pump
Fits Mercruiser V6 & V8
w/ Threaded End
Mfg Part #: 861155A3",True,124.71,1.6,,861155
2-43CAMFTS,2-43CAMFTS,"Camshaft
GM 4.3L Flat Tappet
Std Rotation w/Fuel Pump Lobe
Mfg Part #: N/A",False,117.63,7.0,,
2-43FPK,2-43FPK,"Freeze Plug Kit
GM 4.3L V6
Brass
Mfg Part #: N/A",False,14.26,0.7,,
2-43HBS,2-43HBS,"Head Bolt Set
GM 4.3L V6
Per Cyl Head
Mfg Part #: N/A",False,12.15,,,
2-43OPSCP58,2-43OPSCP58,"Oil Pump Screen
GM 4.3L V6 w/5/8"" Tube &
Cast Aluminum Pan 1996&Up
Mfg Part #: N/A",False,16.39,0.71,,
2-43OPS34,2-43OPS34,"Oil Pump Screen
GM 4.3L V6 w/3/4"" Tube
1996-Up Ser# 0F601127&Up
Mfg Part #: 8099081",False,13.54,0.6,,8099081
2-43RB-S,2-43RB-S,"Rod Bearing Std
GM 4.3L V6
Mfg Part #: 11992001",False,7.36,0.6,,11992001
2-43RB-1,2-43RB-1,"Rod Bearing .010
GM 4.3L V6
Mfg Part #: 811858001",False,7.36,0.1,,811858001
2-468FTLFT,2-468FTLFT,"Lifter Flat Tappet
GM 4Cyl V6 & V8
283, 305,327,350,454Gen IV cid
Mfg Part #: 72638",False,3.92,0.219,,72638
2-5057FPK,2-5057FPK,"Freeze Plug Kit
GM 305/5.0L & 350/5.7L
Brass
Mfg Part #: N/A",False,14.74,0.8,,
2-5057MS-S,2-5057MS-S,"Main Bearing Set Std
GM 305/5.0L & 350/5.7L
Mfg Part #: 818465",False,35.9,1.125,,818465
2-74FTLFT5,2-74FTLFT5,"Lifter Flat Tappet
GM 454/7.4L Gen V
Gen V Only
Mfg Part #: 811584",False,4.01,0.234,,811584
2-74OPS,2-74OPS,"Oil Pump Screen
GM 454/7.4L
w/6.05"" Screen & 9"" Oil Pan
Mfg Part #: N/A",False,9.77,0.5,,
2-74RB-S,2-74RB-S,"Rod Bearing Std
GM 454/7.4L
Standard
Mfg Part #: 85726001",False,6.71,0.094,,85726001
2-74RB-1,2-74RB-1,"Rod Bearing .010
GM 454/7.4L
.010
Mfg Part #: 85691",False,6.71,0.156,,85691
2-74RTLFT,2-74RTLFT,"Lifter Roller
GM 454/7.4L
w/Roller Lifter
Mfg Part #: 850467",False,11.72,0.266,,850467
20-76325,20-76325,"Exhaust Elbow Barr
Mercruiser 4cyl / IL6/V8 w/Log
w/Down Angle 3"" Out 1966-1982",True,199.74,22.0,,
20-76351,20-76351,"Exhaust Elbow Barr
Mercruiser 4cyl/ IL6/ V8 w/Log
w/Down Angle 3"" Out 1966-1982
Mfg Part #: 76351A2",True,186.37,26.0,,76351
20827,20827,"Alternator ARCO
Indmar
w/95Amp 65mm Serpentine Pulley",True,204.95,11.1,,
21255090,21255090,"Seawater Pump Crank Mount
Volvo 4.3L & 5.0L
Vbelt 11/4"" & 1"" Hose
Mfg Part #: 21255090",True,246.11,5.0,,21255090
21520,21520,"Bearing , Back to Back Kit
MC I R/MR/Alpha I, Gen II
Early Style 1967-1997
Cross Ref #: 18-1160, 18-1160, 35988A12, 35988A12, 35988A2, 35988A2, 9-75123
Mfg Part #: 35988A12",False,198.47,3.51,"18-1160, 18-1160, 35988A12, 35988A12, 35988A2, 35988A2, 9-75123",35988
21570,21570,"Bearing , Driveshaft
MC I R/MR Alpha I w/PreloadPin
Mercury V6 Early 1970-1990
Cross Ref #: 18-1108, 18-1108, 500397, 509435, 509435, 53079, 53079A1
Mfg Part #: 53079A1",True,20.43,0.5,"18-1108, 18-1108, 500397, 509435, 509435, 53079, 53079A1",53079
21608511,21608511,"Fuel Pump& Filter Service Kit
Volvo
For 94444 Pump
Mfg Part #: 21608511",True,232.19,2.0,,21608511
2172,2172,"Engine Coupler
Mercruiser V6 & V8 Small Block
2Pc Rear Seal To 1Pc Rear Seal
Mfg Part #: 14505A2",True,213.29,4.3,,14505
21800,21800,"Water Pump Kit w/ Base
MR/Alpha I wo/Preload Pin
Mercury V6 2.5L 1983-1990
Mfg Part #: 46-96148A8",True,28.61,1.0,,46-96148A8
21896,21896,"Exhaust Plug
Mercruiser V6 V8
3/4-14"" Brass
Mfg Part #: 22-41622",True,4.47,0.11,,22-41622
21980,21980,"Trim Cylinder Assy, Early
MC1
1978-1982
Mfg Part #: 45706A14",True,280.9,4.6,,45706
22747,22747,"Delco Timeing Harness
2-Wire Blk/Purple/Wht",True,3.95,0.5,,
2293,2293,"Shim Kit, Driven Gear
MC I R/MR/Alpha I, Gen II
1967-Up
Mfg Part #: 36178A02",False,14.19,0.05,,36178
24980,24980,"Fuel Filter, Carburetor
Mercruiser / OMC
w/ Rochester 2Bbl Carb
Mfg Part #: 1397-2160",True,5.33,0.01,,1397-2160
26390,26390,"Plate, Trim Line Retainer
R/MR/Alpha I, Gen II, Bravo
1983-Up
Mfg Part #: 85060",True,3.43,0.02,,85060
2752,2752,"Bellows, U Joint
MC 1
wo/Ridge 1965-1977
Cross Ref #: 18-2752, 36223, 36223A1, 36223A2, 773047, 775541, 89040, 9-72700
Mfg Part #: 36223A2",True,34.96,1.2,"18-2752, 36223, 36223A1, 36223A2, 773047, 775541, 89040, 9-72700",36223
30040,30040,"Washer, Shift Lever
R/MR/Alpha I, Gen II
1983-Up
Mfg Part #: 12-39116",True,0.57,0.01,,12-39116
30364,30364,"Gasket, Thermostat
OMC/Cobra/Volvo 4cyl
1968 & Up
Cross Ref #: 18-2858, 314809, 33440, 3852127, 3852127, 47-314809, 777906, 802259, 802326, 9-60016
Mfg Part #: 314809",True,1.89,0.02,"18-2858, 314809, 33440, 3852127, 3852127, 47-314809, 777906, 802259, 802326, 9-60016",314809
308735,308735,"Transom Seal Clamp
OMC Stringer
1967-1977
Mfg Part #: 308735",True,32.56,0.2,,308735
3149,3149,"Alternator, MES
Mando 65Amp 3 Wire Conn.
wo/Bullet Conn. w/ V Pulley
Cross Ref #: 3812697, 3856600, 3857561
Mfg Part #: 3857561",True,132.83,12.5,"3812697, 3856600, 3857561",3857561
33500,33500,"Gasket, Exhaust Elbow
PCM, Universal
Cross Ref #: RM0002",False,2.09,0.1,RM0002,
339,339,"Starter,Assembly 12v CW Ford
OMC Mercruiser 460 MOD 1
CW Rotation
Mfg Part #: 984536",False,111.04,17.3,,984536
3594785,3594785,"Fuel Pump Assy
Volco 8.1L & 8.2L
Mfg Part #: 3594785",True,512.99,2.0,,3594785
36820,36820,"Gasket, Exhaust Elbow
Universal Style Manifolds
w/Center Rise Blocked Gasket
Cross Ref #: 18-0476
Mfg Part #: 1-0105",True,4.56,0.2,18-0476,1-0105
3852857,3852857,"Bellows U-Joint
OMC King Cobra
Mfg Part #: 3852857",True,134.54,1.1,,3852857
3857431,3857431,"Trim Pin
Volvo SX -M
w/Clips 1994-Up",False,61.05,1.75,,
3857521,3857521,"Trim Pin Clip
Volvo SX-M
1994-Up
Mfg Part #: 857521",True,3.92,0.01,,857521
3857700,3857700,"Fuel Injector
Volvo7.4L Gi BY EF WT 8.2L GFi
Mercruiser 7.4L MPI GM 454
Mfg Part #: 3857700",False,165.23,0.3,,3857700
39254,39254,"Gasket, Exhaust Pipe Round
CMI
Mercruiser500EFI 525Sci 600Sci
Mfg Part #: 27-848254",False,7.08,0.04,,27-848254
40016,40016,"Transom Assy w/ Trim Cyls
Gen II
1994-Up
Mfg Part #: 61000004P",True,2635.73,100.0,,61000004
43828,43828,"Connector Water Inlet
Mercruiser Bravo I II III
w/Push On
Cross Ref #: 8M0081543
Mfg Part #: 8M0081543",True,17.15,0.13,8M0081543,8M0081543
47366,47366,"Transom Gasket
Mercruiser Alpha I SS 1986-89
& # III 19868-72, SSM1982-1995",True,62.48,1.5,,
