"Item #","DESC 1","DESC 2","DESC 3","X-REF #","Weight","Retail","Dealer","On Hand"
"S3205","Gasket, Base                  ","Yamaha 90-11 All 650/700/760  ","PWC Model                     ","6M6-11351-A2        ",0.01,4.595,3.2763,0
"S3250","Gasket, Outer Exhaust Cover   ","Yamaha 94-04 700/760 WaveRdr/ ","WVenture/XL/GP/WBlaster II    ","62T-41124           ",0.02,5.504,3.9358,0
"S3400-1","Gasket, Head                  ","Yamaha 98-05 All 800          ","Same As Part#S3400            ",,0.2,31.9468,26.4716,4
"S3485","Gasket, Tail Cone             ","Yamaha 98-05 All 800          ","PWC Model                     ","66E-14623           ",0.02,1.9996,1.4321,0
"S3490","O-Ring, Starter               ","Yamaha 800                    ",,"1FK-81847-00-00     ",0.02,5.8877,4.2036,0
"S3500","Seal, Oil Flywheel            ","Yamaha 800                    ",,"93103-35M03         ",0.3,10.816,7.7273,0
"S3700","Gasket, Tail Cone             ","Yamaha 99-08 1200cc Power Valv","PWC/Jetboat Model             ","66V-14623           ",0.06,8.4832,6.0582,0
"S3710P","Gasket, Oil Pan (Paper)       ","Kawasaki All 4 Stroke Models  ",,"11061-3710          ",0.5,16.1079,10.8182,3
"S3720","Oil Seal Kit, Crankshaft      ","Yamaha 99-08 1200/1300        ","Power Valve                   ",,0.4,32.4582,23.1818,0
"S4015","Oil Seal Kit, Crankshaft      ","Yamaha 99-08 1200/1300        ","Power Valve                   ",,0.25,33.5287,23.9442,2
"S4030","Gasket, Cyl. Head .040        ","Polaris 94-95 All 750's       ","Ultimate Green                ",,0.4,20.3697,14.5478,0
"S4035","Gasket, Cyl. Head SS          ","Polaris 95-97 All 780's       ",,"3240251             ",0.05,19.279,13.7751,0
"S4078","Gasket, Exhaust               ","Polaris 97-00 All 785cc       ","PWC Model                     ","5211725             ",0.2,12.0077,8.5824,0
"S4090","Gasket, Flywheel Cover        ","Polaris 650/750               ",,,0.01,5.0898,3.1114,93
"S4120","Seal, Oil, Crank (MAG Side)   ","Polaris 92-00 650/750/780/785 ","SL/SLT/SLX/SLX Pro/Pro        ","3240041             ",0.2,10.816,6.6248,0
"S4125","Seal, Oil, Crank (PTO Inside) ","Polaris 92-00 All 650/750     ","780/785 SL/SLT/SLX/SLX Pro/Pro","3240042             ",0.2,10.816,6.6248,0
"S4130","Seal, Oil Crank (PTO Outside) ","Polaris 92-00 All 650/750     ","780/785 SL/SLT/SLX/SLX Pro/Pro","3240043             ",0.2,10.816,6.6248,0
"S4510","Gasket, Oil Pump              ","Yamaha 95-99 1100cc/1200cc    ","PWC/Jetboat Model             ","63M-13116           ",0.01,1.0301,0.7315,0
"S4701","Gasket Kit                    ","Yamaha 05-12 VX110            ","212X/AR210 PWC/Jetboat        ","6D3-W0001-00-00     ",2,111.0495,77.9417,5
"S4703","Gasket Kit                    ","Yamaha                        ",,,0,0,0,0
"S4815","Gasket, Head Pipe             ","Polaris 96-04 700/777/900/    ","1050/1200                     ","5830051             ",0.04,16.1281,11.5187,0
"S4830","Gasket, Oil Pump Cover        ","Polaris 02-04 All 777cc       ","PWC Model                     ","5811789             ",0.03,0.5857,0.4224,0
"S4840","Seal, Oil, PTO (2 req)        ","Polaris 03-04 Octane/MSX 140/ ","Freedom/Gen. I/Virage/Virage I","5412091             ",0.2,10.816,7.7273,0
"S5000","Gasket, Cyl. Head -           ","Kawasaki 86-91 All 300's      ",,"11004-3712          ",0.2,20.3697,14.5478,0
"S5020","Gasket, Base                  ","Kawasaki 86-91 All 300cc      ","PWC Model                     ","11060-3747          ",0.1,3.2115,2.2872,0
"S5050","Gasket, Exhaust               ","Kawasaki 86-91 All 300cc      ","PWC Model                     ","11009-3750          ",0.2,6.4129,4.5848,0
"S5060","Gasket,Muffler Manifold       ","Kawasaki 86-91 All 300cc      ","PWC Model                     ","11009-3744          ",0.1,5.504,3.9358,0
"S5070","Gasket, Conn Pipe             ","Kawasaki JS300                ",,"11060-3736          ",0.1,5.504,3.9358,0
"S5095","Seal, Oil Kit                 ","Kawasaki 86-91 All 300cc      ","PWC Model                     ",,0.5,10.9877,7.8509,0
"S5200","Gasket, Cyl. Head             ","Kawasaki 77-92 All 440        ",,"11004-3707          ",0.2,24.3487,17.3915,0
"S5230","Gasket, Cyl. Head Green       ","Kawasaki 77-92 All 440        ",,,0.2,26.6109,19.009,0
"S5240","Gasket, Base (2 required)     ","Kawasaki 76-89 All 440cc      ","PWC Model                     ","11009-505           ",0.1,2.6459,1.8958,0
"S5250","Gasket, Intake (2 required)   ","Kawasaki 440                  ",,"11009-3785          ",0.1,1.4745,1.0509,0
"S5290","Gasket, Head Pipe Green       ","Kawasaki 76-92 All 440cc      ","PWC Model                     ","11060-3710          ",0.1,6.12,4.3685,0
"S5310","Seal, Oil, Crankshaft         ","Kawasaki 76-92 JS 440/550cc   ",,"92049-3005          ",0.2,6.1099,4.3685,0
"S5330","Seal, Oil, Crankshaft         ","Kawasaki 76-92 JS 440/550cc   ",,"92049-3006          ",0.3,6.1099,4.3685,0
"S5480","Gasket, Head Pipe             ","Kawasaki 82-85 JS550          ","PWC Model                     ","11009-3051          ",0.1,8.1499,5.8212,0
"S5490","Gasket, Conn Pipe             ","Kawasaki 82-85 JS550          ","PWC Model                     ","11060-3730          ",0.1,9.8061,7.0061,0
"S5510","Gasket, Conn Pipe             ","Kawasaki 86-95 All 550cc      ","PWC Model                     ","11060-3727          ",0.2,8.8871,6.3466,0
"S5520","Gasket, Chamber               ","Kawasaki 550                  ",,"11060-3728          ",0.1,6.6552,4.7497,0
"S5660","Gasket, Carb Base 38mm        ","Kawasaki 91-97 550/650/750 X2/","TS/SC/SX/SS/ST/SprSprt XI/XiR ","11060-3716          ",0.1,1.4745,1.0509,0
"S5810","Gasket, Cyl. Head .020 Copper ","Kawasaki 86-96 All 650's      ",,,0.2,26.6412,19.009,0
"S5850","Gasket, Cylinder Base         ","Kawasaki 86-96 All 650's      ",,"11009-3775          ",0.03,6.12,4.3685,0
"S5890","Gasket, Head Pipe             ","Kawasaki 89-96 All 650cc/XiR  ","PWC Model                     ","11009-3722          ",0.02,6.12,4.3685,1
"S5910","Gasket, Conn Pipe             ","Kawasaki 650                  ",,"11009-3724          ",0.03,9.1598,6.5424,0
"S5920","Seal, Oil, Crankshaft         ","Kawasaki 89-11 650/750/800/   ","900/1100                      ","92049-3705          ",0.5,7.3218,5.2339,0
"S5930","Seal, Oil, Crankshaft         ","Kawasaki 89-11 650/750/800/   ","900/1100                      ","92049-3706          ",0.5,7.3218,5.2339,0
"S6020.3","Gasket, Base (3 Hole)         ","Seadoo 93-95 All 650          ","PWC/Jetboat Model             ","290-931-161         ",0.2,9.1598,6.5424,0
"S6020.4","Gasket, Base (4 Hole)         ","Seadoo 93-95 All 650          ","PWC/Jetboat Model             ","290-931-161         ",0.2,9.1598,6.5424,0
"S6020.5","Gasket, Base (5 Hole)         ","Seadoo 650                    ",,"290-931-161         ",0.2,9.1598,6.5424,0
"S6020.6","Gasket, Base (6 Hole)         ","Seadoo 93-95 All 650          ","PWC/Jetboat Model             ","290-931-161         ",0.2,9.1598,6.5424,0
"S6020.8","Gasket, Base (8 Hole)         ","Seadoo 93-95 All 650          ","PWC/Jetboat Model             ","290-931-161         ",0.2,9.1598,6.5424,0
"S6025.5","Gasket, Base (5 Hole)         ","Seadoo 95-05 All 720          ","PWC/Jetboat Model             ","290-931-400         ",0.2,9.1598,6.5527,0
"S6025.6","Gasket, Base (6 Hole)         ","Seadoo 95-05 All 720          ","PWC/Jetboat Model             ","290-931-400         ",0.2,9.1598,6.5424,0
"S6025.8","Gasket, Base (8 Hole)         ","Seadoo 95-05 All 720          ","PWC/Jetboat Model             ","290-931-400         ",0.2,9.1598,6.5424,0
"S6035.4","Gasket, Base (4 Hole)         ","Seadoo 95-05 All 800 Carb/RFI ","PWC/Jetboat Model             ","290-931-460         ",0.02,8.8063,6.2848,0
"S6035.5","Gasket, Base (5 Hole)         ","Seadoo 95-05 All 800 Carb/RFI ","PWC/Jetboat Model             ","290-931-460         ",0.02,8.8063,6.2848,0
"S6035.8","Gasket, Base (8 Hole)         ","Seadoo 95-05 All 800 Carb/RFI ","PWC/Jetboat Model             ","290-931-460         ",0.02,8.8063,6.2848,0
"S6255","O-Ring, Oil Pump              ","Seadoo 2 Strokes              ",,"293-300-018         ",0.02,2.1511,1.3188,0
"S6275","O-Ring, Manifold ( 1 Carb )   ","Seadoo                        ",,"290-850-160         ",0.2,1.7471,1.0715,0
"S6320","Seal, Oil, Crankshaft Flywheel","Seadoo                        ",,"290-830-749         ",0.2,8.261,5.9037,0
"S6325","Seal, Oil, PTO                ","Seadoo                        ",,"290-830-638         ",0.2,8.261,5.9037,0
"S6330","Seal, Oil, PTO                ","Seadoo                        ",,"290-831-952         ",0.2,8.261,5.9037,0
"S6348","Seal, Oil, Crankshaft Center  ","Seadoo 95-05 All 720          ","PWC/Jetboat Model             ","420-831-355         ",0.2,17.9964,12.8581,0
"S6645","Gasket Kit w/ Seals           ","Seadoo 95-05 All 800 Carb     ","PWC/Jetboat Model             ",,2,139.1641,99.3828,0
"S6730.3","Gasket, Base (3 Hole)         ","Seadoo 98 GSX LTD             ","(97 Production)White Motor    ","290-931-680         ",0.02,12.3511,8.8194,0
"S6730.4","Gasket, Base (4 Hole)         ","Seadoo 98 GSX LTD             ","(97 Production)White Motor    ","290-931-681         ",0.02,12.3511,8.8194,0
"S6732.5","Gasket, Base (5 Hole)         ","Seadoo 98-02 All 951cc Carb   ","PWC/Jetboat Model             ","290-931-685.5       ",0.2,12.3511,8.8194,0
"S6732.6","Gasket, Base (6 Hole)         ","Seadoo 98-02 All 951cc Carb   ","PWC/Jetboat Model             ","290-931-685.6       ",0.2,12.3511,8.8194,0
"S6790","O-Ring, Starter               ","Seadoo                        ",,"278-001-159         ",0.02,2.656,1.8958,0
"S6812","Seal, Oil, Center             ","Seadoo 98-07 All 951 Carb/DI  ","PWC/Jetboat Model             ",,0.1,13.775,9.8394,0
"S6814","Seal, Oil, Center (Large ID)  ","Seadoo                        ",,,0.2,13.775,9.8394,0
"S7010","Gasket, Cyl. Head .020        ","Kawasaki 92-02 All 750's      ",,,0.5,24.3487,17.3915,0
"S7065","Gasket, Carb 40mm             ","Kawasaki 96-11 750/800cc      ","SXI/SXI Pro/SX-R              ","11060-3761          ",0.02,2.0198,1.4424,0
"S7080","Gasket, Head Pipe             ","Kawasaki 92-11 750/800 SX/SX-R","/SXI Pro/SXI Pro/SX-R PWC     ","11060-3712          ",0.03,8.4529,6.0376,1
"S7125","Gasket, Exhaust Joint         ","Kawasaki 96-98 750 STS/STX    ","PWC Model                     ","11060-3763          ",0.3,10.099,7.2121,0
"S7135","Gasket, Muffler               ","Kawasaki 96-98 750 STS/STX    ","PWC Model                     ","11060-3766          ",0.3,10.099,7.2121,0
"S7140","Gasket, Muffler               ","Kawasaki 92-11 750/800 SX/    ","SXI Pro/SX-R PWC Model        ","11060-3714          ",0.2,10.0687,7.1915,0
"S7145","Gasket, Muffler               ","Kawasaki 96-98 750 STS/STX    ","PWC Model                     ","11060-3770          ",0.3,10.099,7.2121,0
"S7150","Gasket, Control Valve         ","Kawasaki 650                  ",,"11060-3723          ",0.2,2.7671,1.9782,0
"S7670","Gasket Kit, Top End           ","Kawasaki 1100                 ",,,0.6,82.8016,50.0933,0
"S8050","Gasket, Flywheel Housing      ","Kawasaki                      ",,,0.5,9.0386,5.6667,0
"S8215","Gasket, Head                  ","Yamaha 04-10 1052 FX HO/VX    ","PWC/Jetboat Model             ",,0.3,61.2907,39.1514,0
"TS-A5","Impeller, NuJet 14/18 146mm   ","Tigershark 96-99 640cc        ",,,3,179.972,127.5023,0
"TS-A55","Impeller, NuJet 15.5/20 146mm ","Tigershark 96-99 All 770cc    ",,,3.1,179.972,127.5023,0
"V4470","Piston Kit ProV Std           ","Kawasaki 650                  ",,,2,94.5139,57.1756,0
"V4474","Piston Kit ProV .040          ","Kawasaki 650                  ",,,2,94.5139,57.1756,0
"V4476","Piston Kit ProV .060          ","Kawasaki 650                  ",,,2,94.5139,57.1756,0
"V4477","Piston Kit  .070/1.75mm       ","Kawasaki 650cc                ",,,2,94.5139,57.1756,0
"V4478","Piston Kit .080 NLA           ","Kawasaki 300                  ",,,2,94.5139,57.1756,0
"V4480","Piston Kit  Std               ","Kawasaki 750cc 1995 & Below   ","20mm Wrist Pin                ","13001-3718          ",2,102.0918,62.3781,0
"V4482","Piston Kit  .020/.50mm        ","Kawasaki 750cc 1995 & Below   ","20mm Wrist Pin                ","13029-3710          ",2,102.0918,62.3781,0
"V4483","Piston Kit ProV .030          ","Kawasaki                      ",,,2,102.0918,62.3781,0
"V4484","Piston Kit  .040/1.00mm       ","Kawasaki 750cc 1995 & Below   ","20mm Wrist Pin                ","13027-3710          ",2,102.0918,62.3781,0
"V4486","Piston Kit  .060/1.50mm       ","Kawasaki 750cc 1995 & Below   ","20mm Wrist Pin                ",,2,102.0918,62.3781,0
"V4491","Piston                        ",,,,2,102.0918,62.3781,0
"V4492","Piston Kit ProV .020/.50mm    ","Kawasaki 750cc                ","22mm Wrist Pin                ","13029-3711          ",2,101.9388,51.9731,0
"V4493","Piston Kit .030               ","Kawasaki js750 zxi            ",,"V4493               ",2,102.0918,62.3781,0
"V4494","Piston Kit ProV .040/1.00mm   ","Kawasaki 750cc                ","22mm Wrist Pin                ","13027-3711          ",2,102.0918,62.3781,0
"V4496","Piston Kit ProV .060/1.50mm   ","Kawasaki 750cc                ","22mm Wrist Pin                ",,2,102.0918,62.3781,0
"V4500","Piston Kit  Std               ","Kawasaki 900cc                ",,"13001-3712          ",2,94.5139,57.1756,0
"V4501","Piston Kit .010/.25mm         ","Kawasaki 900cc                ",,,2,94.5139,57.1756,0
"V4502","Piston Kit .020/.50mm         ","Kawasaki 900cc                ",,"13029-3712          ",2,94.5139,57.1756,0
"V4503","Piston Kit .030 or.75mm       ","Kawasaki 900cc                ",,,2,94.5139,57.1756,0
"V4504","Piston Kit .040/1.00mm        ","Kawasaki 900cc                ",,"13027-3712          ",2,94.5139,57.1756,0
"V4506","Piston Kit ProV .060          ","Kawasaki 900                  ",,,2,94.5139,57.1756,0
"V4510","Piston Kit  Std               ","Kawasaki 800cc SXR 2003 & Up  ",,"13001-3735          ",2,102.0918,62.3781,0
"V4512","Piston Kit  .020/.50mm        ","Kawasaki 800cc SXR 2003 & Up  ",,"13029-3718          ",2,102.0918,62.3781,0
"V4513","Piston Kit  .030 or.75mm      ","Kawasaki 800cc SXR 2003 & Up  ",,"13027-3718          ",2,102.0918,62.3781,0
"V4514","Piston Kit  .040/1.00mm       ","Kawasaki 800cc SXR 2003 & Up  ",,,2,102.0918,62.3781,0
"V4520","Piston Kit ProV Std           ","Kawasaki 1200                 ",,,2,102.0918,62.3781,0
"V4522","Piston Kit ProV .020          ","Kawasaki 1200                 ",,,2,102.0918,62.3781,0
"V4524","Piston Kit ProV .040          ","Kawasaki 1200                 ",,,2,102.0918,62.3781,0
"V7090","Piston Kit ProV Std           ","Yamaha 701cc / 1100cc         ",,"63M-11631-00-89     ",2,94.5139,57.1756,0
"V7091","Piston Kit ProV .010/.25mm    ","Yamaha 701cc / 1100cc         ",,"61X-11635-00-00     ",2,94.5139,57.1756,0
"V7092","Piston Kit ProV .020/.50mm    ","Yamaha 701cc / 1100cc         ",,"63N-11636-00-00     ",2,94.5139,57.1756,0
"V7093","Piston Kit ProV .030 or.75mm  ","Yamaha 701cc / 1100cc         ",,,2,94.5139,57.1756,0
"V7094","Piston Kit ProV .040          ","Yamaha 701                    ",,,2,94.5139,57.1756,0
"V7096","Piston Kit ProV .060          ","Yamaha 701                    ",,,2,94.5139,57.1756,0
"V7098","Piston Kit ProV .080          ","Yamaha 701                    ",,,2,94.5139,57.1756,0
"V7110","Piston Kit ProV               ","Yamaha 760                    ",,,2,94.5139,57.1756,0
"V7111","Piston Kit ProV .010/.25mm    ","Yamaha 760cc , 1200cc 135hp   ","1200 is mono block/Steel Liner","64X-11604-00-00     ",2,94.5139,57.1756,0
"V7112","Piston Kit ProV .020          ","Yamaha 760                    ",,,2,94.5139,57.1756,0
"V7113","Piston Kit ProV .030 or.75mm  ","Yamaha 701cc / 1100cc         ",,,2,94.5139,57.1756,0
"V7114","Piston Kit ProV .040/1.00mm   ","Yamaha 760cc , 1200cc 135hp   ","1200 is mono block/Steel Liner",,2,94.5139,57.1756,0
"V7118","Piston                        ",,,,2,94.5139,57.1756,0
"V7120","Piston Kit ProX .020          ","Yamaha 701/1100               ",,,1.2,0,0,0
"V7170","Piston Kit Std                ","Yamaha 800, 1200              ",,,2,102.0918,62.3781,0
"V7172","Piston Kit ProV .020          ","Yamaha 800, 1200              ",,,2,102.0918,62.3781,0
"V7174","Piston Kit ProV .040          ","Yamaha 800, 1200              ",,,2,102.0918,62.3781,0
"V7190","Piston Kit ProV Std           ","Yamaha 1300GPR                ",,"60T-11631-03-A0     ",2,165.0603,103.9982,0
"V7192","Piston Kit ProV .020          ","Yamaha 1300GPR                ",,,2,165.0603,103.9982,0
"V7194","Piston Kit ProV .040          ","Yamaha 1300GPR                ",,,2,165.0603,103.9982,0
"V7202","Piston Kit ProV Std           ","Yamaha FX 140                 ",,,2,127.2833,72.7831,0
"V7204","Piston Kit ProV .040          ","Yamaha FX 140                 ",,,2,127.2833,72.7831,0
"V8020","Piston Kit  Std               ","Seadoo 580 / 587cc            ","1988-1996                     ","290886270           ",2,94.5139,57.1756,0
"V8021","Piston Kit .020               ","SeaDoo                        ",,"V8021               ",0,99.99,56.0545,0
"V8022","Piston Kit ProV Std           ","Seadoo 580                    ",,,2,94.5139,57.1756,0
"V8023","Piston Kit ProV .030          ","Seadoo 580                    ",,,2,94.5139,57.1756,0
"V8026","Piston Kit  .060/1.50mm       ","Seadoo 580 / 587cc            ","1988-1996                     ",,2,94.5139,57.1756,1
"V8041","Piston Kit ProV               ","Seadoo 720                    ",,,2,94.5139,57.1756,0
"V8042","Piston Kit ProV .020          ","Seadoo 720                    ",,,2,94.5139,57.1756,0
"V8050","Piston Kit ProV Std           ","Seadoo 800                    ",,,2,94.5139,57.1756,0
"V8052","Piston Kit ProV .020          ","Seadoo 800                    ",,,2,94.5139,57.1756,0
"V8053","Piston Kit  .030 or.75mm      ","Seadoo 787cc, 800cc           ","1995-2005 Carb/Rotax Fuel Inj ",,2,94.5139,57.1756,0
"V8054","Piston Kit ProV .040          ","Seadoo 800                    ",,,2,94.5139,57.1756,0
"V8056","Piston Kit  .060/1.50mm       ","Seadoo 787cc, 800cc           ","1995-2005 Carb/Rotax Fuel Inj ",,2,94.5139,57.1756,0
"V8060","Piston Kit ProV Std           ","Seadoo 951                    ",,,2,102.0918,62.3781,0
"V8062","Piston Kit ProV .020          ","Seadoo 951                    ",,,2,102.0918,62.3781,0
"V8063","Piston Kit  .030 or.75mm      ","Seadoo 951cc                  ","1997-2007 Carb/Direct Fuel Inj",,2,102.0918,62.3781,0
"V8064","Piston Kit  .040/1.00mm       ","Seadoo 951cc                  ","1997-2007 Carb/Direct Fuel Inj",,2,102.0918,62.3781,0
"V8066","Piston Kit ProV .060          ","Seadoo 951                    ",,,2,102.0918,62.3781,0
"W5297","Gasket Kit, Top End           ","Kawasaki 650                  ",,,0.5,47.3053,29.9195,0
"W5324","Gasket Kit                    ","Kawasaki 750SS, SX            ","Thru 1996 JH750               ",,0.36,34.9465,22.4611,0
"W5384","Gasket Kit, Top End           ","Seadoo All 93-95 All 650      ","PWC/Jetboat Model             ",,0.22,71.0129,49.4422,0
"W5450","Gasket Kit, Top End           ","Seadoo 1992 & Up All 580      ","PWC/Jetboat Model             ",,0.36,85.3,59.3927,0
"W5460","Gasket Kit, Top End           ","Seadoo 720                    ",,,0.5,71.0129,47.1608,0
"W5494","Gasket Kit, Top End           ","Yamaha 94-11 700cc SuperJet   ","WaveRaider/WaveVenture/XL     ",,0.28,51.8348,36.0963,0
"W5526","Gasket Kit, Top End           ","Yamaha 96-00 All 760cc        ","PWC Model                     ",,0.4,79,57,2
"W5923","Gasket Kit                    ","Kawasaki 76-92 All 440cc      ","PWC Model                     ",,0.5,32.9467,21.1758,0
"W6249","Gasket Kit, Top End  Big Bore ","Seadoo 00-07 All 951 DI       ","PWC/Jetboat Model             ",,1,98.4802,65.4017,0
"YM-A5","Impeller, NuJet 13/17 144mm   ","Yamaha 93-07 701cc Some 760cc ",,,2.9,179.972,127.5023,0
"YM-A55","Impeller, NuJet 14.5/18 144mm ","Yamaha 96-00 760cc            ",,,2.7,179.972,127.5023,0
"YM-B5","Impeller, NuJet 12/18 155mm   ","Yamaha 95-99 1100cc/1200cc    ",,,2,179.972,127.5023,0
"YM-C6","Impeller, NuJet 12/18 155mm   ","Yamaha 99-08 1200 Pwr Valve/FX",,,3.1,179.972,127.5023,0
"YM-F5","Impeller, NuJet 14/20 155mm   ","Yamaha 04-08 1052 HO          ","05-08 1300                    ",,3,179.972,127.5023,0
"003-1611","Driveshaft Length 23 11/16""   ","Kawasaki 96-99 750 SuperSport ","XI/SS/ST/STS/STX/ XI Sport    ","39159-3717          ",3.2,226.1774,138.1725,0
"003-1612","Driveshaft Length 23 1/8""     ","Kawasaki 99-06 900/1100/1200cc","STS/STX/STX-R/STX DI          ","39159-3732          ",3,261.2439,159.5946,0
"003-215","Coupler                       ","Yamaha 500                    ",,"6K8-45813-10-9M     ",1,33.2267,20.3,0
"003-216","Coupler, Crankshaft Side      ","Yamaha 650                    ",,"6M6-45813-10-9M     ",1,33.2267,20.3,0
"003-251","Coupler Shaft 240mm           ","Yamaha                        ",,"63N-51323-01-00     ",2,140.176,85.6374,0
"003-430","Outlet, Jet Pump              ","Seadoo                        ",,"293-700-017         ",0.02,1.5798,0.9691,0
"003-431","Fitting, Jet Pump             ","Seadoo                        ",,"293-700-019         ",0.02,2.7897,1.7036,0
"003-508","Housing, Impeller 155mm       ","Yamaha 99 & later 800/1200/   ","All 4 Str.  PWC/Jetboat Model ","66V-51312-01-94     ",4.1,216.9683,153.015,0
"003-604","Bearing Kit, Jet Pump         ","Kawasaki 750                  ",,,1,36.8863,22.534,0
"003-632","Bearing Kit, Jet Pump         ","Yamaha                        ",,,2,38.1362,23.2991,0
"003-640","Bearing Kit, Jet Pump         ","Seadoo                        ",,,0.2,45.0055,27.4917,0
"004-150","Coil, Ignition Discontinued   ","Yamaha 87-93 All 500cc        ","WaveRunner/WaveJammer         ","6K8-85570-10        ",0.6,57.8642,35.3465,0
"004-166","Coil, Stator No 2             ","Kawasaki 650                  ",,"21003-3719          ",0.25,42.1158,25.7269,0
"004-282","Regulator Rectifier           ","Yamaha 1100-1300              ",,,1.2,0,0,0
"006-336","Carburetor Repair kit         ","Kawaaki                       ",,,0.2,12.5387,7.661,0
"006-362","Needle & Seat,  Mikuni 2.3    ","Push-In for All SBN/SBN-I     ","Universal                     ",,0.02,10.5189,6.4266,0
"006-516","Fuel Filter                   ","Yamaha 87-92 500/650cc        ","WJ/WR/WR LX                   ","8H5-24560-00-00     ",0.04,2.6097,1.5914,0
"006-537","Plug, Mikuni Brass Primer     ","All PWC                       ",,,0.01,1.1399,0.6937,84
"006-538","Inlet, Keihin Brass Primer    ","Kawasaki/Polaris              ","Kawasaki/Polaris              ",,0.01,1.5798,0.9691,112
"006-539","Plug, Brass Choke Shaft       ","Keihin Carburetor 76-05       ",,,0.01,1.1399,0.6937,92
"006-540","Fuel Filter 6mm               ","Yamaha                        ",,,0.3,0,0,0
"006-541","Fuel Filter, Large Hole       ","Yamaha Waverunner             ",,,0.5,0,0,0
"006-562","Oil Cap-Discontinued          ","Seadoo 02 & Later All 4 Tec's ","PWC/Jetboat Model             ",,0.2,22.7077,13.8734,0
"006-585","Flame Arrestor                ",,,,1,41.9458,27.8487,0
"006-589","Flame Arrestor ProK           ",,,,1,64.9935,39.7839,0
"006-601","Valve, Fuel                   ","Seadoo, Polaris               ",,"7052161             ",0.4,15.9884,10.15,0
"006-602","Fuel Valve 3 Position         ","Sea Doo                       ",,,0.4,17.4483,10.66,0
"006-603","Valve, Fuel 2 Position        ","Polaris                       ",,"7052159             ",0.4,17.4483,10.66,0
"006-664","Carb Adapter                  ","Mikuni BN38I, BN40I           ",,,0.4,21.0379,12.8533,0
"006-667","Carb Adapter                  ","Yamaha 800/1200               ",,,1,21.0379,12.8533,0
"006-690","Pre Filter, Black ProK        ","PWC                           ",,,0.5,13.9486,9.2829,0
"007-625","Gasket Kit, Complete          ","Seadoo 951 DI                 ",,,1,122.6477,74.9263,0
"007-6251","Gasket Kit, Top End           ","Seadoo 951 DI                 ",,,0.5,70.043,42.7932,0
"007-626","Gasket Kit, Complete w/ Seals ","Seadoo 4 tec                  ",,,1.5,0,0,0
"007-6411","Gasket Kit, Top End           ","Kawasaki                      ",,,2,105.1095,64.2153,0
"008-425","O-Ring, Crankshaft            ","Kawasaki                      ",,,0.02,0.9499,0.5815,0
"008-587","O-Ring, Oil Injection         ","Seadoo 2 Strokes              ",,"293-300-018         ",0.1,0.5999,0.3672,0
"009-709","Oil Seal Jet Pump             ","Waverunner                    ",,"93101-25M55-0       ",0.2,5.3695,3.2745,0
"009-710","Oil Seal Jet Pump             ","Yamaha                        ",,"93101-25M56-00      ",0.2,6.1394,3.754,0
"009-732","Oil Seal, Drive               ","Polaris                       ",,"3610040             ",0.02,10.429,6.3756,0
"009-776","Oil Seal, Crankshaft Inner    ","Seadoo                        ",,"290-831-355         ",0.05,5.1695,3.1623,0
"010-050","Seal, Valve Stem              ",,,,0.5,0,0,0
"010-206","Ball Bearing, Crankshaft      ","Yamaha 650, 701               ","Inner bearings,  2 Required   ","93306-20712-00      ",0.7,15,8.95,3
"010-2151","Ball Bearing, PTO             ","Seadoo 800                    ",,,0.5,17.4483,10.66,0
"010-442","Web, Crankshaft               ","Kawasaki Ultra 1200           ",,,2,131.4968,80.3329,0
"010-485","Collar, Crankshaft            ","Yamaha                        ",,"62T-45526-00-00     ",1,21.5978,13.2103,0
"010-491","Bolt Flywheel                 ","Kawasaki All 2 Stroke         ",,,0.1,8.4192,5.1413,8
"010-492","Bolt, Stator                  ","Yamaha 95 & Later All 2 Stoke ",,,0.2,12.9787,7.9466,0
"010-522","Connecting Rod                ","Kawasaki 1100                 ",,,1,79.952,48.8424,0
"010-539","Connecting Rod                ","Polaris Virage                ",,,3,96.4304,58.9108,0
"010-542","Connecting Rod Kit            ","Kawasaki Ultra 1200           ",,,2,96.4304,58.9108,0
"010-808","Piston Kit Std                ","Seadoo 800 RFI                ",,,2,88.5011,53.0452,0
"010-8084","Piston Kit .25mm              ","Seadoo 800 RFI                ",,,2,86.8313,53.0452,0
"010-8085","Piston Kit .5mm               ","Seadoo 800 RFI                ",,,2,86.8313,53.0452,0
"010-8086","Piston Kit 75mm               ","Seadoo 800 RFI                ",,,2,86.8313,53.0452,0
"010-8087","Piston Kit 1mm                ","Seadoo 800 RFI                ",,,2,86.8313,53.0452,0
"010-809","Piston Kit Std                ","Seadoo 951                    ",,,2,96.7703,59.1148,0
"010-8094","Piston Kit .25mm              ","Seadoo 951 DI                 ",,,2,96.7703,59.1148,0
"010-8095","Piston Kit .50mm              ","Seadoo 951 DI                 ",,,2,96.7703,59.1148,0
"010-8096","Piston Kit .75mm              ","Seadoo 951 DI                 ",,,2,96.7703,59.1148,0
"010-8097","Piston Kit 1mm                ","Seadoo 951                    ",,,2,96.7703,59.1148,0
"010-8105","Non-Stock Piston              ","Kawasaki (WSM)                ",,"010-8105            ",0,99.99,56.0545,0
"010-8107","Non-Stock Piston              ","Kawasaki (WSM)                ",,"010-8107            ",0,0,56.0545,0
"010-815","Piston Kit Std                ","Seadoo 580                    ",,,1.8,86.8313,53.0452,0
